ticker,exchange_cd,date,sentiment,sentiment_high,sentiment_low,news_volume,news_buzz,name
AAPL,MM,2014-04-05,0.5,2.702,-2.702,10,3.0,APPLE INC
AAPL,MM,2014-04-06,0.25,1.939,-2.439,12,3.0,APPLE INC
AAPL,MM,2014-04-07,0.326,2.592,-2.939,46,6.0,APPLE INC
AAPL,MM,2014-04-08,0.174,2.092,-2.744,86,8.0,APPLE INC
AAPL,MM,2014-04-09,0.543,2.755,-2.668,81,7.0,APPLE INC
AAPL,MM,2014-04-10,0.426,2.506,-2.655,47,5.0,APPLE INC
AAPL,MM,2014-04-11,-1.41,1.467,-3.287,39,4.0,APPLE INC
AAPL,MM,2014-04-12,0.455,2.265,-2.356,33,6.0,APPLE INC
AAPL,MM,2014-04-13,0.571,3.492,-3.349,7,6.0,APPLE INC
AAPL,MM,2014-04-14,1.278,3.394,-1.838,36,8.0,APPLE INC
AAPL,MM,2014-04-15,1.019,2.976,-1.938,53,6.0,APPLE INC
AAPL,MM,2014-04-16,0.982,2.912,-1.949,55,6.0,APPLE INC
AAPL,MM,2014-04-17,1.585,3.522,-1.352,53,9.0,APPLE INC
AAPL,MM,2014-04-18,0.121,1.959,-2.717,33,6.0,APPLE INC
AAPL,MM,2014-04-19,-1.444,1.055,-2.943,9,4.0,APPLE INC
AAPL,MM,2014-04-20,0.857,2.852,-2.138,14,6.0,APPLE INC
AAPL,MM,2014-04-21,1.797,4.268,-1.673,69,10.0,APPLE INC
AAPL,MM,2014-04-22,0.906,2.8,-1.987,64,9.0,APPLE INC
AAPL,MM,2014-04-23,0.032,2.395,-3.331,157,10.0,APPLE INC
AAPL,MM,2014-04-24,1.104,3.646,-2.437,278,10.0,APPLE INC
AAPL,MM,2014-04-25,0.078,2.15,-2.994,154,5.0,APPLE INC
AAPL,MM,2014-04-26,-1.656,1.122,-3.435,32,3.0,APPLE INC
AAPL,MM,2014-04-27,0.6,2.455,-2.255,10,3.0,APPLE INC
AAPL,MM,2014-04-28,0.618,2.838,-2.601,55,3.0,APPLE INC
AAPL,MM,2014-04-29,0.424,2.321,-2.472,139,5.0,APPLE INC
AAPL,MM,2014-04-30,0.5,2.722,-2.722,64,2.0,APPLE INC
AAPL,MM,2014-05-01,1.14,3.123,-1.844,43,1.0,APPLE INC
AAPL,MM,2014-05-02,0.918,2.823,-1.986,49,3.0,APPLE INC
AAPL,MM,2014-05-03,-1.608,1.415,-3.632,97,8.0,APPLE INC
AAPL,MM,2014-05-04,0.471,2.723,-2.782,17,9.0,APPLE INC
AAPL,MM,2014-05-05,0.838,2.797,-2.121,74,10.0,APPLE INC
AAPL,MM,2014-05-06,0.855,3.281,-2.572,110,7.0,APPLE INC
AAPL,MM,2014-05-07,0.25,2.25,-2.75,32,2.0,APPLE INC
AAPL,MM,2014-05-08,1.303,3.37,-1.764,33,3.0,APPLE INC
AAPL,MM,2014-05-09,0.316,1.986,-2.354,171,10.0,APPLE INC
AAPL,MM,2014-05-10,0.821,2.615,-1.972,28,6.0,APPLE INC
AAPL,MM,2014-05-11,0.313,2.366,-2.741,16,5.0,APPLE INC
AAPL,MM,2014-05-12,1.027,3.14,-2.086,73,6.0,APPLE INC
AAPL,MM,2014-05-13,0.635,2.481,-2.211,63,3.0,APPLE INC
AAPL,MM,2014-05-14,0.121,2.197,-2.956,58,3.0,APPLE INC
